TIME_PERIOD,GINI,THEIL,ASSET,REF_AREA
2015-07-01,0.6854454717269715,0.9502337645220735,BW,CY
2015-10-01,0.6828163205663165,0.9380982031994398,BW,CY
2016-01-01,0.6817007681326899,0.9357232268936359,BW,CY
2016-04-01,0.6814252054148835,0.9315098503350082,BW,CY
2016-07-01,0.6785804958731556,0.9174689078223427,BW,CY
2016-10-01,0.6757120346821122,0.9034115412716334,BW,CY
2017-01-01,0.6748560855921271,0.9025280319836928,BW,CY
2017-04-01,0.676037571612466,0.9091275601970459,BW,CY
2017-07-01,0.6755576370131569,0.9137610696360525,BW,CY
2017-10-01,0.6741970272352797,0.9108953391370023,BW,CY
2018-01-01,0.6759777810711195,0.9126942613052196,BW,CY
2018-04-01,0.6694436380433382,0.8876763694842107,BW,CY
2018-07-01,0.6651456783255685,0.8731301699848433,BW,CY
2018-10-01,0.6606215324536109,0.8617679381531566,BW,CY
2019-01-01,0.6599278497352128,0.8615682993039645,BW,CY
2019-04-01,0.6574991865336084,0.8551036153819804,BW,CY
2019-07-01,0.6550383240337527,0.8506536249029304,BW,CY
2019-10-01,0.6535532952999209,0.8477863253224266,BW,CY
2020-01-01,0.6517523295869653,0.8468591381625615,BW,CY
2020-04-01,0.6518610539462959,0.8542085912063281,BW,CY
2020-07-01,0.6469308346566676,0.8386970402526581,BW,CY
2020-10-01,0.6475556342807476,0.8411698049979992,BW,CY
2021-01-01,0.6459999405294723,0.8411868281958029,BW,CY
2021-04-01,0.6418975305412165,0.8320927008755146,BW,CY
2021-07-01,0.6411391169314659,0.8286984708631675,BW,CY
2021-10-01,0.6419377615778952,0.8305256595530061,BW,CY
2022-01-01,0.6367056360661054,0.8178236497259579,BW,CY
2022-04-01,0.6354090363544853,0.8111896283056282,BW,CY
2022-07-01,0.6384635669150065,0.8177480613072421,BW,CY
2022-10-01,0.631806646068432,0.7992035831471409,BW,CY
2023-01-01,0.6306611157802722,0.7955184700016714,BW,CY
2023-04-01,0.6309301012108173,0.7927160455708617,BW,CY
2023-07-01,0.6326200939357671,0.7993230476032025,BW,CY
2023-10-01,0.6224444709739996,0.7669342104412451,BW,CY
2024-01-01,0.6269010553339587,0.7704081324782616,BW,CY
2024-04-01,0.6267145377314792,0.7687673706290973,BW,CY
2024-07-01,0.6263247312681457,0.7648422993198842,BW,CY
2011-01-01,0.8640410281989851,1.8988320266429066,BW,DE
2011-04-01,0.86437175380413,1.9038237711879298,BW,DE
2011-07-01,0.8640253500000453,1.904258771681525,BW,DE
2011-10-01,0.8650453302146381,1.9160134160877516,BW,DE
2012-01-01,0.8670629641558557,1.9402227729958859,BW,DE
2012-04-01,0.8668006762155845,1.9415555554358832,BW,DE
2012-07-01,0.8678276653427117,1.9524524826465453,BW,DE
2012-10-01,0.868601808977282,1.9622238576947935,BW,DE
2013-01-01,0.8692037093855174,1.969196998144331,BW,DE
2013-04-01,0.8691592488288299,1.9716406472745978,BW,DE
2013-07-01,0.8702075634020807,1.9837814120815225,BW,DE
2013-10-01,0.8711738103425851,1.9950293964148065,BW,DE
2014-01-01,0.8716221093749381,2.002060184606035,BW,DE
2014-04-01,0.8718889167746038,2.0087413920214763,BW,DE
2014-07-01,0.8724886849606647,2.0172393089921172,BW,DE
2014-10-01,0.8710515543690247,2.001315219427436,BW,DE
2015-01-01,0.869863848183223,1.988197381728923,BW,DE
2015-04-01,0.8679818012023457,1.9689343115714912,BW,DE
2015-07-01,0.8657188159056155,1.9459521261013444,BW,DE
2015-10-01,0.8646609472123733,1.9350236331610295,BW,DE
2016-01-01,0.8621404054052616,1.9118013182497053,BW,DE
2016-04-01,0.8596990277915495,1.890206531553039,BW,DE
2016-07-01,0.8575771982367522,1.8736317975358276,BW,DE
2016-10-01,0.8571893492399947,1.866842925927218,BW,DE
2017-01-01,0.8556582489666359,1.8530309443786643,BW,DE
2017-04-01,0.8540011945688855,1.8361851185879556,BW,DE
2017-07-01,0.8551980085027595,1.8467466885367305,BW,DE
2017-10-01,0.8560943531935061,1.8536751643589406,BW,DE
2018-01-01,0.8579373953609547,1.8736399725500732,BW,DE
2018-04-01,0.858834724817138,1.8831370380606585,BW,DE
2018-07-01,0.8598501739909428,1.892152533450175,BW,DE
2018-10-01,0.8605167732884125,1.8997714290732364,BW,DE
2019-01-01,0.8605511246554945,1.9046325497315135,BW,DE
2019-04-01,0.8605797102102379,1.9070190167796686,BW,DE
2019-07-01,0.8606716942267706,1.9078059224285233,BW,DE
2019-10-01,0.8610909169250304,1.9106815319006347,BW,DE
2020-01-01,0.863411232614492,1.931722812182093,BW,DE
2020-04-01,0.8634946466156029,1.936357170431852,BW,DE
2020-07-01,0.8640161987625947,1.9441941832068874,BW,DE
2020-10-01,0.8649461538256323,1.9512176401940962,BW,DE
2021-01-01,0.8659720475743221,1.9577113492795601,BW,DE
2021-04-01,0.8659512603972872,1.9572255187386733,BW,DE
2021-07-01,0.8666047969141251,1.96747569323718,BW,DE
2021-10-01,0.8666409015370369,1.968000407015402,BW,DE
2022-01-01,0.8659793572158097,1.9576784467734605,BW,DE
2022-04-01,0.8655798249882852,1.9559985381573761,BW,DE
2022-07-01,0.865729164170882,1.9569161878103125,BW,DE
2022-10-01,0.8657024229530862,1.9580562268000645,BW,DE
2023-01-01,0.865868564203367,1.9601604203809315,BW,DE
2023-04-01,0.8658461431307101,1.9597002225702735,BW,DE
2023-07-01,0.8659805579492965,1.9607923641334846,BW,DE
2023-10-01,0.8662667393564372,1.9632055439408305,BW,DE
2024-01-01,0.8662108614965118,1.9616642190689737,BW,DE
2024-04-01,0.8662142516591508,1.9616669478855429,BW,DE
