REF_AREA,TIME_PERIOD,GDP_PC,GDP_PC_Change
BE,2004-07-01,93.421,-0.02549418453032899
BE,2004-10-01,97.462,0.04325579901735152
BE,2005-01-01,95.307,-0.022111181793929954
BE,2005-04-01,97.742,0.02554901528743956
BE,2005-07-01,94.581,-0.032340242679707816
BE,2005-10-01,98.921,0.04588659455916096
BE,2006-01-01,97.001,-0.019409427725154433
BE,2006-04-01,99.201,0.02268017855486014
BE,2006-07-01,96.406,-0.02817511920242727
BE,2006-10-01,101.203,0.049758313797896365
BE,2007-01-01,100.009,-0.011798069227196848
BE,2007-04-01,102.395,0.023857852793248563
BE,2007-07-01,99.33,-0.029933102202255948
BE,2007-10-01,103.563,0.04261552401087289
BE,2008-01-01,101.149,-0.023309483116557086
BE,2008-04-01,103.43,0.022550890270788698
BE,2008-07-01,98.863,-0.04415546746591904
BE,2008-10-01,100.489,0.016447002417486874
BE,2009-01-01,94.617,-0.05843425648578451
BE,2009-04-01,98.743,0.0436073855649618
BE,2009-07-01,94.748,-0.040458564151382784
BE,2009-10-01,104.898,0.1071262717946552
BE,2010-01-01,96.437,-0.08065930713645636
BE,2010-04-01,101.164,0.04901645633937186
BE,2010-07-01,96.14,-0.049661935075718644
BE,2010-10-01,106.259,0.10525275639692115
BE,2011-01-01,97.496,-0.0824683085668038
BE,2011-04-01,101.886,0.045027488307212614
BE,2011-07-01,96.658,-0.05131225094713694
BE,2011-10-01,106.433,0.10112975646092415
BE,2012-01-01,97.311,-0.08570650080332227
BE,2012-04-01,101.485,0.042893403623434065
BE,2012-07-01,96.356,-0.0505394885943736
BE,2012-10-01,105.688,0.09684918427498036
BE,2013-01-01,96.309,-0.08874233593217777
BE,2013-04-01,101.456,0.05344256507699183
BE,2013-07-01,96.327,-0.050553934710613514
BE,2013-10-01,106.093,0.1013838280025331
BE,2014-01-01,97.866,-0.07754517263155913
BE,2014-04-01,102.685,0.04924079864304255
BE,2014-07-01,97.572,-0.04979305643472756
BE,2014-10-01,107.314,0.09984421760341071
BE,2015-01-01,99.018,-0.07730585012207161
BE,2015-04-01,104.06,0.050920034741158186
