TIME_PERIOD,GINI,THEIL,ASSET,COUNTRY
2010-10-01,0.5476643978955191,0.5599272585757573,F2M,AT
2011-01-01,0.5431535280648736,0.5507512330631136,F2M,AT
2011-04-01,0.5419352472099663,0.5479376332071455,F2M,AT
2011-07-01,0.5376194699441075,0.5404090016865689,F2M,AT
2011-10-01,0.5347705782687355,0.5345626175863947,F2M,AT
2012-01-01,0.5282482036523369,0.5222114020754763,F2M,AT
2012-04-01,0.5260221786855894,0.5179470303041904,F2M,AT
2012-07-01,0.5221262610230459,0.510124963682541,F2M,AT
2012-10-01,0.5207548432037141,0.5076568489753318,F2M,AT
2013-01-01,0.5168747953790749,0.5007658880850611,F2M,AT
2013-04-01,0.5127467528502108,0.4933243829339601,F2M,AT
2013-07-01,0.5090352115323172,0.48612414970873097,F2M,AT
2013-10-01,0.5067490629397913,0.4815280048435688,F2M,AT
2014-01-01,0.5013297662593819,0.4721068697706133,F2M,AT
2014-04-01,0.49528870782399725,0.4596251010709488,F2M,AT
2014-07-01,0.49159115322966174,0.4532341293022358,F2M,AT
2014-10-01,0.4898650827150447,0.4507015872090612,F2M,AT
2015-01-01,0.4908998506918991,0.4531951520386261,F2M,AT
2015-04-01,0.49325366700259055,0.4586262731232259,F2M,AT
2015-07-01,0.4944228440828764,0.4615431596379461,F2M,AT
2015-10-01,0.4960108876053907,0.4654152373695226,F2M,AT
2016-01-01,0.4963769753281948,0.46681819169062055,F2M,AT
2016-04-01,0.4979634319702084,0.4709602671083035,F2M,AT
2016-07-01,0.5015613191283961,0.4795944569271754,F2M,AT
2016-10-01,0.5043258755502005,0.48496810515331734,F2M,AT
2017-01-01,0.5056558002326808,0.48871749322833336,F2M,AT
2017-04-01,0.5051262174452253,0.48775134114198493,F2M,AT
2017-07-01,0.5047436722408641,0.48732105477078447,F2M,AT
2017-10-01,0.5056171531830965,0.488582181413402,F2M,AT
2018-01-01,0.5042498487131479,0.4863034965738673,F2M,AT
2018-04-01,0.5057635224222015,0.48927794281808734,F2M,AT
2018-07-01,0.503949365963259,0.4857708608588595,F2M,AT
2018-10-01,0.5058236757962924,0.48955758718268133,F2M,AT
2019-01-01,0.5050193185340989,0.4876796563792102,F2M,AT
2019-04-01,0.5055187086833741,0.48894408385456856,F2M,AT
2019-07-01,0.5050010730607708,0.4882409444130251,F2M,AT
2019-10-01,0.5064830023287958,0.4914979381367177,F2M,AT
2020-01-01,0.5049406759532654,0.48849226244112653,F2M,AT
2020-04-01,0.50490822645414,0.48820065463607,F2M,AT
2020-07-01,0.5032228730592548,0.48579416430379796,F2M,AT
2020-10-01,0.5051767356399741,0.489282876206429,F2M,AT
2021-01-01,0.5022249277007966,0.4844358826040395,F2M,AT
2021-04-01,0.501447567499791,0.48382094014231836,F2M,AT
2021-07-01,0.4998651565502116,0.4817668299014107,F2M,AT
2021-10-01,0.4985922122014055,0.4793989500095901,F2M,AT
2022-01-01,0.49457813577405074,0.47332265894785885,F2M,AT
2022-04-01,0.49250622055844684,0.46824976471399765,F2M,AT
2022-07-01,0.49222602199253196,0.467320879658381,F2M,AT
2022-10-01,0.4928741027001592,0.46823315848530866,F2M,AT
2023-01-01,0.49226880346070734,0.4676891708857166,F2M,AT
2023-04-01,0.49356723882683695,0.4712710062965686,F2M,AT
2023-07-01,0.49306052661575284,0.46924448730535256,F2M,AT
2023-10-01,0.4950010787272998,0.47375521837870477,F2M,AT
2024-01-01,0.4961830462065032,0.47521693861310477,F2M,AT
2024-04-01,0.49700864800657785,0.47707136518250376,F2M,AT
2024-07-01,0.49625166117194375,0.47558259316590873,F2M,AT
2010-07-01,0.5910738586545476,0.6974541203810213,F2M,BE
2010-10-01,0.5875235105205188,0.688386533330375,F2M,BE
2011-01-01,0.5854811981189549,0.6819505132499749,F2M,BE
2011-04-01,0.5830219281227167,0.6748914150279407,F2M,BE
2011-07-01,0.5794492273025341,0.6656976442697662,F2M,BE
2011-10-01,0.5763154485868451,0.6569413666189301,F2M,BE
2012-01-01,0.5751533892551086,0.6523583033429845,F2M,BE
2012-04-01,0.5730351627034342,0.64737792026041,F2M,BE
2012-07-01,0.5700509069274782,0.6389438793215081,F2M,BE
2012-10-01,0.5672862697043094,0.631635987587264,F2M,BE
2013-01-01,0.5650542529222919,0.6252071082347396,F2M,BE
2013-04-01,0.5629177449399252,0.6206265999263026,F2M,BE
2013-07-01,0.5586725174854847,0.6084946121289158,F2M,BE
2013-10-01,0.5567355157206634,0.6041874639167761,F2M,BE
2014-01-01,0.5541238938064367,0.5971273879161134,F2M,BE
2014-04-01,0.5511835365385445,0.588737544708503,F2M,BE
2014-07-01,0.5460395464020041,0.577696235161491,F2M,BE
2014-10-01,0.5454982328810811,0.574596742312885,F2M,BE
2015-01-01,0.5446851800911325,0.5706331634562256,F2M,BE
2015-04-01,0.5426167258193584,0.5652145600228183,F2M,BE
2015-07-01,0.5383399289475634,0.5567281524814528,F2M,BE
2015-10-01,0.5358452809751586,0.5497178883402496,F2M,BE
2016-01-01,0.5349446856529125,0.547375439342514,F2M,BE
2016-04-01,0.5337615482372706,0.5440547878310847,F2M,BE
2016-07-01,0.5299304264689328,0.5347708657272149,F2M,BE
2016-10-01,0.5285375282138047,0.5307796736108114,F2M,BE
2017-01-01,0.5259913791036266,0.525498206528277,F2M,BE
2017-04-01,0.5247074439162234,0.5215416885354679,F2M,BE
2017-07-01,0.522440401470773,0.5173335722504836,F2M,BE
2017-10-01,0.5220506633477752,0.5168931404490988,F2M,BE
2018-01-01,0.5217229421118091,0.5181057303994523,F2M,BE
