REF_AREA,TIME_PERIOD,HP_R_N
BE,2021-07-01,115.3707
BE,2021-10-01,113.2305
BE,2022-01-01,110.7734
BE,2022-04-01,110.7344
BE,2022-07-01,110.2697
BE,2022-10-01,106.6383
BE,2023-01-01,107.4156
BE,2023-04-01,107.3712
BE,2023-07-01,107.5736
BE,2023-10-01,108.69970000000001
BE,2024-01-01,107.9284
BE,2024-04-01,107.1467
BE,2024-07-01,107.9619
BE,2024-10-01,108.3602
CY,2002-01-01,55.2744
CY,2002-04-01,54.1254
CY,2002-07-01,57.1872
CY,2002-10-01,56.5158
CY,2003-01-01,55.1552
CY,2003-04-01,54.9203
CY,2003-07-01,56.7429
CY,2003-10-01,56.7277
CY,2004-01-01,64.8656
CY,2004-04-01,66.2619
CY,2004-07-01,68.6454
CY,2004-10-01,69.6985
CY,2005-01-01,70.6359
CY,2005-04-01,71.6126
CY,2005-07-01,72.7588
CY,2005-10-01,72.2423
CY,2006-01-01,76.355
CY,2006-04-01,79.5674
CY,2006-07-01,81.3354
CY,2006-10-01,85.2321
CY,2007-01-01,91.4446
CY,2007-04-01,96.8305
CY,2007-07-01,99.451
CY,2007-10-01,100.5375
CY,2008-01-01,109.3745
CY,2008-04-01,110.1619
CY,2008-07-01,110.3764
CY,2008-10-01,106.499
CY,2009-01-01,103.8864
CY,2009-04-01,102.6155
CY,2009-07-01,104.2532
CY,2009-10-01,103.6233
CY,2010-01-01,101.9884
CY,2010-04-01,100.1073
CY,2010-07-01,100.056
CY,2010-10-01,97.9136
CY,2011-01-01,97.3315
CY,2011-04-01,93.902
CY,2011-07-01,93.4722
CY,2011-10-01,89.8505
CY,2012-01-01,89.5897
CY,2012-04-01,86.1851
CY,2012-07-01,86.0557
CY,2012-10-01,84.4816
CY,2013-01-01,83.6732
CY,2013-04-01,81.6985
CY,2013-07-01,80.7006
CY,2013-10-01,78.8814
CY,2014-01-01,77.7729
CY,2014-04-01,75.2896
CY,2014-07-01,74.4816
CY,2014-10-01,73.063
CY,2015-01-01,73.9266
CY,2015-04-01,73.0083
CY,2015-07-01,73.8514
CY,2015-10-01,73.0045
CY,2016-01-01,74.321
CY,2016-04-01,73.4364
CY,2016-07-01,73.1868
CY,2016-10-01,73.0145
CY,2017-01-01,73.3779
CY,2017-04-01,73.4856
CY,2017-07-01,74.6698
CY,2017-10-01,74.361
CY,2018-01-01,75.3149
CY,2018-04-01,73.9176
CY,2018-07-01,74.2231
CY,2018-10-01,74.411
CY,2019-01-01,76.1534
CY,2019-04-01,75.7153
CY,2019-07-01,76.7896
CY,2019-10-01,76.2045
CY,2020-01-01,76.7185
CY,2020-04-01,78.6282
CY,2020-07-01,78.6593
CY,2020-10-01,77.4396
CY,2021-01-01,78.5138
CY,2021-04-01,76.9845
CY,2021-07-01,76.2411
CY,2021-10-01,76.0699
CY,2022-01-01,76.1672
CY,2022-04-01,73.8005
CY,2022-07-01,74.0046
CY,2022-10-01,74.7536
CY,2023-01-01,76.9943
CY,2023-04-01,77.0818
CY,2023-07-01,77.5011
CY,2023-10-01,79.1852
CY,2024-01-01,81.713
CY,2024-04-01,81.0656
CY,2024-07-01,81.3793
DE,2000-01-01,118.7491
DE,2000-04-01,118.8588
DE,2000-07-01,118.0843
DE,2000-10-01,117.7028
DE,2001-01-01,116.9148
DE,2001-04-01,115.8861
DE,2001-07-01,115.5822
DE,2001-10-01,115.1908
DE,2002-01-01,114.0376
DE,2002-04-01,113.6773
DE,2002-07-01,113.281
DE,2002-10-01,112.8886
DE,2003-01-01,111.5989
DE,2003-04-01,111.2876
DE,2003-07-01,110.4533
DE,2003-10-01,109.75
DE,2004-01-01,108.3665
DE,2004-04-01,107.9078
DE,2004-07-01,107.2677
DE,2004-10-01,106.6036
DE,2005-01-01,106.0957
DE,2005-04-01,105.2131
DE,2005-07-01,104.2621
DE,2005-10-01,104.1346
DE,2006-01-01,102.6415
DE,2006-04-01,103.6188
DE,2006-07-01,104.2189
DE,2006-10-01,103.0737
DE,2007-01-01,101.6453
DE,2007-04-01,100.7383
DE,2007-07-01,100.8471
DE,2007-10-01,100.1891
DE,2008-01-01,101.639
DE,2008-04-01,101.8112
DE,2008-07-01,100.6326
DE,2008-10-01,101.9201
DE,2009-01-01,101.7331
DE,2009-04-01,100.184
DE,2009-07-01,99.9545
DE,2009-10-01,100.2817
DE,2010-01-01,99.1342
DE,2010-04-01,99.8472
DE,2010-07-01,100.4955
DE,2010-10-01,100.5153
DE,2011-01-01,100.2208
DE,2011-04-01,99.9811
DE,2011-07-01,100.7473
DE,2011-10-01,100.4737
DE,2012-01-01,100.6459
DE,2012-04-01,101.5315
DE,2012-07-01,101.3629
DE,2012-10-01,101.7974
DE,2013-01-01,102.2659
DE,2013-04-01,103.0375
DE,2013-07-01,103.319
DE,2013-10-01,102.7744
DE,2014-01-01,103.3807
DE,2014-04-01,105.2256
DE,2014-07-01,105.34
DE,2014-10-01,105.6013
DE,2015-01-01,107.7635
DE,2015-04-01,108.7442
DE,2015-07-01,109.1101
DE,2015-10-01,111.273
DE,2016-01-01,114.1153
DE,2016-04-01,116.2022
DE,2016-07-01,117.7171
DE,2016-10-01,119.4624
DE,2017-01-01,119.8911
DE,2017-04-01,121.2749
DE,2017-07-01,122.4409
DE,2017-10-01,125.1533
DE,2018-01-01,126.2463
DE,2018-04-01,127.0859
DE,2018-07-01,128.6006
DE,2018-10-01,130.3818
DE,2019-01-01,131.1792
DE,2019-04-01,132.4337
DE,2019-07-01,133.4876
DE,2019-10-01,137.1975
DE,2020-01-01,138.1141
DE,2020-04-01,140.0671
DE,2020-07-01,145.3409
DE,2020-10-01,149.3463
DE,2021-01-01,148.7445
DE,2021-04-01,152.7808
DE,2021-07-01,157.7869
DE,2021-10-01,160.595
DE,2022-01-01,158.2575
DE,2022-04-01,156.6903
DE,2022-07-01,153.0131
DE,2022-10-01,142.0779
DE,2023-01-01,136.2676
DE,2023-04-01,132.7793
DE,2023-07-01,130.0365
DE,2023-10-01,127.4491
DE,2024-01-01,125.9806
DE,2024-04-01,126.6344
DE,2024-07-01,127.0595
DE,2024-10-01,127.0061
EE,2005-01-01,101.9719
EE,2005-04-01,113.3599
EE,2005-07-01,118.0817
EE,2005-10-01,132.8971
EE,2006-01-01,148.7464
EE,2006-04-01,161.3083
EE,2006-07-01,170.2938
EE,2006-10-01,187.2086
EE,2007-01-01,189.9637
EE,2007-04-01,198.3038
EE,2007-07-01,188.6369
EE,2007-10-01,180.5511
EE,2008-01-01,168.9261
EE,2008-04-01,160.2789
EE,2008-07-01,157.5516
EE,2008-10-01,134.0197
EE,2009-01-01,106.5547
EE,2009-04-01,100.2697
EE,2009-07-01,92.0611
EE,2009-10-01,90.8472
EE,2010-01-01,100.4538
EE,2010-04-01,99.7083
EE,2010-07-01,102.494
EE,2010-10-01,97.3936
EE,2011-01-01,101.6175
EE,2011-04-01,103.0792
EE,2011-07-01,103.997
EE,2011-10-01,104.5753
EE,2012-01-01,104.4173
EE,2012-04-01,106.7227
EE,2012-07-01,108.6414
EE,2012-10-01,106.7123
EE,2013-01-01,108.6563
EE,2013-04-01,111.6681
EE,2013-07-01,117.3956
EE,2013-10-01,121.5297
EE,2014-01-01,126.8905
EE,2014-04-01,127.8623
EE,2014-07-01,133.6735
EE,2014-10-01,134.3949
EE,2015-01-01,138.3905
EE,2015-04-01,141.3513
EE,2015-07-01,139.6696
EE,2015-10-01,141.9979
EE,2016-01-01,141.7709
EE,2016-04-01,144.9237
EE,2016-07-01,149.3299
EE,2016-10-01,150.9889
EE,2017-01-01,148.2779
EE,2017-04-01,147.3002
EE,2017-07-01,150.8406
EE,2017-10-01,152.57
EE,2018-01-01,153.2383
EE,2018-04-01,153.0713
EE,2018-07-01,151.6256
EE,2018-10-01,155.4546
EE,2019-01-01,158.6708
EE,2019-04-01,157.3163
EE,2019-07-01,160.365
EE,2019-10-01,165.3539
EE,2020-01-01,174.2705
EE,2020-04-01,165.6087
EE,2020-07-01,168.2167
EE,2020-10-01,175.3265
EE,2021-01-01,184.5691
EE,2021-04-01,186.4331
EE,2021-07-01,186.9596
EE,2021-10-01,193.0393
EE,2022-01-01,197.8654
EE,2022-04-01,197.4212
EE,2022-07-01,187.5923
