REF_AREA,TIME_PERIOD,B50,D06,D07,D08,D09,D10,ALL,B50_share,M40_share,T10_share,B50_share_change,M40_share_change,T10_share_change,HP_R_N,Stock_Price,HP_R_Change,STOCK_Change,owner_ALL
AT,2014-01-01,35166.759999999995,46370.06,75487.90999999999,111199.86,164752.04,680326.87,1113303.5,0.03158775661802913,0.35732382948585,0.6110884138961209,0.037335159636271875,0.009031937670929135,-0.007126353304287514,115.399,3090.848412698413,0.01758012293669875,0.02399690211873029,47.61
AT,2014-04-01,36829.32000000001,47994.130000000005,78104.47000000002,115583.32,169450.93,695399.18,1143361.35,0.03221144391490932,0.35958260264788555,0.6082059534372052,0.019552193775855375,0.006301465672937434,-0.004728088484421411,116.8706,3213.9506507936503,0.012671651316170873,0.039055292306890976,47.61
AT,2014-07-01,36895.02999999999,47953.56,78363.01,116103.22,169105.73,693811.8999999999,1142232.4499999997,0.03230080707302616,0.36028176226301406,0.6074174306639599,0.0027704262029448756,0.0019424765804458843,-0.0012973144382546486,115.6509,3173.144727272728,-0.010491169093024055,-0.012777789060288924,47.61
AT,2014-10-01,38211.77,48861.740000000005,79785.34999999999,117420.74,171671.61000000002,705884.5299999999,1161835.7399999998,0.03288913284764334,0.35955120471677016,0.6075596624355867,0.01805007792771951,-0.0020297981075769744,2.3413078828282696e-4,114.5364,3102.474875,-0.00968349434465754,-0.022522983929873064,47.61
AT,2015-01-01,38874.70000000001,49232.990000000005,80606.71,119077.95,174709.83999999997,725575.62,1188077.81,0.032720668354204854,0.35656544246037214,0.6107138891854229,-0.005135356625979526,-0.008338807845269303,0.005178202865356918,118.4722,3441.982174603174,0.03378565749270379,0.10384737922944254,47.61
AT,2015-04-01,38869.29000000001,48962.41,79704.34999999999,117776.11000000002,173419.96999999997,727332.83,1186064.96,0.032771636723843534,0.35399649611097184,0.6132318671651846,0.001556469263605642,-0.007230777228188767,0.004114531251095677,117.3504,3621.11461904762,-0.00951400299842664,0.050734365273212845,47.61
AT,2015-07-01,39006.39000000001,48750.02,79477.16999999998,116970.3,173496.05000000002,730054.1799999999,1187754.1099999999,0.032840458872417634,0.3525086012962734,0.614650939831309,0.0020978501963409,-0.004211992298064349,0.0023114148839576965,119.2214,3386.5137121212115,0.015817937821019257,-0.06698089554009634,47.61
AT,2015-10-01,40745.880000000005,49614.36000000001,80987.41,118874.79,177057.65,752634.58,1219914.67,0.03340059842054363,0.34964265984275766,0.6169567417366987,0.016912559145765726,-0.008163361736303054,0.0037443816467177538,122.3019,3332.9457692307687,0.02551030942175192,-0.015944460383201076,47.61
AT,2016-01-01,42051.56999999999,50613.79000000001,82123.15,120884.44999999998,179982.41999999998,770842.04,1246497.42,0.03373578583098872,0.34785776772807114,0.6184064464409401,0.009985351437328038,-0.005117978255522182,0.002347010795829052,126.8194,2973.939112903226,0.036271449005001344,-0.11396915363973115,47.61
AT,2016-04-01,42770.600000000006,50584.68000000001,82371.37,120938,180425.44,780951.06,1258041.1500000001,0.03399777503303449,0.34523472463519966,0.6207675003317658,0.0077359142277675375,-0.007569135851285047,0.003810694623016364,127.7919,2974.3690153846155,0.007639132507401669,1.4454613744518952e-4,47.61
AT,2016-07-01,42460.759999999995,49878.97999999999,80921.12999999999,118684.75,178050.15,782321.37,1252317.1400000001,0.033905756492321096,0.3413951596957301,0.6246990838119487,-0.002710274266266577,-0.011183914501987413,0.006313451664670122,126.9887,2975.7976060606065,-0.006305053531122873,4.801851088647169e-4,47.61
