REF_AREA,TIME_PERIOD,GDP_PC
CY,2006-07-01,103.845
CY,2006-10-01,102.59
CY,2007-01-01,99.685
CY,2007-04-01,104.327
CY,2007-07-01,106.246
CY,2007-10-01,105.872
CY,2008-01-01,101.902
CY,2008-04-01,106.909
CY,2008-07-01,107.402
CY,2008-10-01,104.512
CY,2009-01-01,97.596
CY,2009-04-01,101.254
CY,2009-07-01,101.426
CY,2009-10-01,100.946
CY,2010-01-01,96.474
CY,2010-04-01,100.892
CY,2010-07-01,101.652
CY,2010-10-01,100.983
CY,2011-01-01,95.698
CY,2011-04-01,100.211
CY,2011-07-01,98.211
CY,2011-10-01,97.457
CY,2012-01-01,91.85
CY,2012-04-01,94.821
CY,2012-07-01,94.664
CY,2012-10-01,91.516
CY,2013-01-01,84.652
CY,2013-04-01,87.526
CY,2013-07-01,89.285
CY,2013-10-01,87.137
CY,2014-01-01,81.842
CY,2014-04-01,87.047
CY,2014-07-01,88.028
CY,2014-10-01,85.947
CY,2015-01-01,82.534
CY,2015-04-01,89.959
CY,2015-07-01,91.121
CY,2015-10-01,90.229
CY,2016-01-01,87.809
CY,2016-04-01,95.226
CY,2016-07-01,96.137
CY,2016-10-01,95.924
CY,2017-01-01,92.755
CY,2017-04-01,100.107
CY,2017-07-01,100.707
CY,2017-10-01,99.84
CY,2018-01-01,97.724
CY,2018-04-01,105.197
CY,2018-07-01,105.289
CY,2018-10-01,104.979
CY,2019-01-01,101.528
CY,2019-04-01,109.048
CY,2019-07-01,111.451
CY,2019-10-01,109.66
CY,2020-01-01,103.138
CY,2020-04-01,95.918
CY,2020-07-01,105.243
CY,2020-10-01,107.907
CY,2021-01-01,106.061
CY,2021-04-01,111.477
CY,2021-07-01,117.472
CY,2021-10-01,117.377
CY,2022-01-01,114.974
CY,2022-04-01,118.713
CY,2022-07-01,123.396
CY,2022-10-01,119.896
CY,2023-01-01,116.231
CY,2023-04-01,119.021
CY,2023-07-01,123.803
CY,2023-10-01,120.575
CY,2024-01-01,118.361
CY,2024-04-01,121.335
CY,2024-07-01,126.61
CY,2024-10-01,121.914
DE,2000-01-01,88.807
DE,2000-04-01,89.501
DE,2000-07-01,90.938
DE,2000-10-01,91.801
DE,2001-01-01,90.81
DE,2001-04-01,90.743
DE,2001-07-01,92.125
DE,2001-10-01,92.995
DE,2002-01-01,89.054
DE,2002-04-01,90.65
DE,2002-07-01,92.793
DE,2002-10-01,93.065
DE,2003-01-01,88.778
DE,2003-04-01,89.614
DE,2003-07-01,92.291
DE,2003-10-01,93.054
DE,2004-01-01,90.385
DE,2004-04-01,91.453
DE,2004-07-01,92.622
DE,2004-10-01,93.957
DE,2005-01-01,90.084
DE,2005-04-01,92.755
DE,2005-07-01,94.025
DE,2005-10-01,95.352
DE,2006-01-01,94.131
DE,2006-04-01,95.46
DE,2006-07-01,97.559
DE,2006-10-01,100.219
DE,2007-01-01,98.152
DE,2007-04-01,98.529
DE,2007-07-01,100.413
DE,2007-10-01,102.348
DE,2008-01-01,100.2
DE,2008-04-01,101.626
DE,2008-07-01,101.643
DE,2008-10-01,100.75
DE,2009-01-01,93.829
DE,2009-04-01,94.172
DE,2009-07-01,96.569
DE,2009-10-01,98.56
DE,2010-01-01,96.607
DE,2010-04-01,98.842
DE,2010-07-01,101.299
DE,2010-10-01,103.252
DE,2011-01-01,102.643
DE,2011-04-01,102.656
DE,2011-07-01,104.512
DE,2011-10-01,105.289
DE,2012-01-01,104.179
DE,2012-04-01,102.792
DE,2012-07-01,104.337
DE,2012-10-01,104.957
DE,2013-01-01,102.16
DE,2013-04-01,103.477
DE,2013-07-01,105.342
DE,2013-10-01,105.75
DE,2014-01-01,105.076
DE,2014-04-01,104.373
DE,2014-07-01,106.689
DE,2014-10-01,107.867
DE,2015-01-01,105.645
DE,2015-04-01,105.264
DE,2015-07-01,107.486
DE,2015-10-01,108.904
DE,2016-01-01,106.884
DE,2016-04-01,108.014
DE,2016-07-01,108.657
DE,2016-10-01,110.027
DE,2017-01-01,110.222
DE,2017-04-01,109.125
DE,2017-07-01,111.197
DE,2017-10-01,113.143
DE,2018-01-01,111.435
DE,2018-04-01,111.257
DE,2018-07-01,111.361
DE,2018-10-01,113.246
DE,2019-01-01,112.43
DE,2019-04-01,111.071
DE,2019-07-01,113.405
DE,2019-10-01,113.815
DE,2020-01-01,110.553
DE,2020-04-01,99.009
DE,2020-07-01,109.813
DE,2020-10-01,112.509
DE,2021-01-01,109.441
DE,2021-04-01,110.743
DE,2021-07-01,112.625
DE,2021-10-01,114.739
DE,2022-01-01,113.493
DE,2022-04-01,110.85
DE,2022-07-01,113.002
DE,2022-10-01,113.072
DE,2023-01-01,112.476
DE,2023-04-01,109.498
DE,2023-07-01,111.493
DE,2023-10-01,111.949
DE,2024-01-01,111.24
DE,2024-04-01,109.324
DE,2024-07-01,111.396
DE,2024-10-01,111.364
EE,2000-01-01,62.324
EE,2000-04-01,70.764
EE,2000-07-01,67.619
EE,2000-10-01,71.899
EE,2001-01-01,67.07
EE,2001-04-01,74.811
EE,2001-07-01,72.367
EE,2001-10-01,76.171
EE,2002-01-01,70.025
EE,2002-04-01,81.409
EE,2002-07-01,79.098
EE,2002-10-01,82.088
EE,2003-01-01,77.488
EE,2003-04-01,86.662
EE,2003-07-01,85.006
EE,2003-10-01,89.241
EE,2004-01-01,86.049
EE,2004-04-01,90.774
EE,2004-07-01,91.337
EE,2004-10-01,95.606
EE,2005-01-01,90.368
EE,2005-04-01,101.324
EE,2005-07-01,101.7
EE,2005-10-01,107.185
EE,2006-01-01,100.624
EE,2006-04-01,111.147
EE,2006-07-01,112.331
EE,2006-10-01,118.25
EE,2007-01-01,110.794
EE,2007-04-01,122.153
EE,2007-07-01,120.595
EE,2007-10-01,125.066
EE,2008-01-01,106.167
EE,2008-04-01,120.438
EE,2008-07-01,118.379
EE,2008-10-01,110.619
EE,2009-01-01,93.488
EE,2009-04-01,99.456
EE,2009-07-01,95.548
EE,2009-10-01,101.242
EE,2010-01-01,92.023
EE,2010-04-01,101.472
EE,2010-07-01,100.938
EE,2010-10-01,105.566
EE,2011-01-01,100.643
EE,2011-04-01,110.029
EE,2011-07-01,110.533
EE,2011-10-01,110.387
EE,2012-01-01,104.14
EE,2012-04-01,114.411
EE,2012-07-01,114.618
