JAHR,REF_AREA,OWNER,DWA_GRP
2014,AT,93.6,D9D10
2014,PL,99,D9D10
2014,PT,96.5,D9D10
2014,SI,95,D9D10
2014,SK,98.8,D9D10
2014,FI,97.9,D9D10
2021,I9,5.8,D0D2
2021,BE,3.8,D0D2
2021,CZ,7.7,D0D2
2021,DE,2.3,D0D2
2021,EE,28.2,D0D2
2021,IE,5.9,D0D2
2021,GR,7.8,D0D2
2021,ES,21.5,D0D2
2021,FR,2.6,D0D2
2021,HR,11.2,D0D2
2021,IT,10.4,D0D2
2021,CY,8,D0D2
2021,LV,19.8,D0D2
2021,LT,72.3,D0D2
2021,LU,5.6,D0D2
2021,HU,46.7,D0D2
2021,MT,8,D0D2
2021,NL,10,D0D2
2021,AT,0.1,D0D2
2021,PL,NA,D0D2
2021,PT,8.1,D0D2
2021,SI,9.7,D0D2
2021,SK,54.5,D0D2
2021,FI,6.9,D0D2
2021,I9,34.5,D2D4
2021,BE,68.7,D2D4
2021,CZ,79.7,D2D4
2021,DE,4.4,D2D4
2021,EE,82.5,D2D4
2021,IE,50.1,D2D4
2021,GR,67.8,D2D4
2021,ES,70.5,D2D4
2021,FR,18.6,D2D4
2021,HR,88.2,D2D4
2021,IT,86.8,D2D4
2021,CY,69.4,D2D4
2021,LV,88.3,D2D4
2021,LT,98.5,D2D4
2021,LU,52.7,D2D4
2021,HU,93.1,D2D4
2021,MT,91.8,D2D4
2021,NL,13.3,D2D4
2021,AT,1.8,D2D4
2021,PL,NA,D2D4
2021,PT,66.4,D2D4
2021,SI,85.7,D2D4
2021,SK,96.6,D2D4
2021,FI,37.3,D2D4
2021,I9,81.4,D4D6
2021,BE,96.2,D4D6
2021,CZ,95.4,D4D6
2021,DE,39.8,D4D6
2021,EE,92.1,D4D6
2021,IE,95.3,D4D6
2021,GR,93.7,D4D6
2021,ES,89.9,D4D6
2021,FR,77.5,D4D6
2021,HR,98.8,D4D6
2021,IT,96.5,D4D6
2021,CY,93.2,D4D6
2021,LV,85.5,D4D6
2021,LT,99.8,D4D6
2021,LU,87.3,D4D6
2021,HU,96.3,D4D6
2021,MT,98.3,D4D6
2021,NL,72.2,D4D6
2021,AT,50.3,D4D6
2021,PL,NA,D4D6
2021,PT,90.9,D4D6
2021,SI,97,D4D6
2021,SK,98.5,D4D6
2021,FI,87.6,D4D6
2021,I9,91.8,D6D8
2021,BE,96.6,D6D8
2021,CZ,97.8,D6D8
2021,DE,83.1,D6D8
2021,EE,95.7,D6D8
2021,IE,98,D6D8
2021,GR,94.7,D6D8
2021,ES,92.5,D6D8
2021,FR,93.8,D6D8
2021,HR,98.9,D6D8
2021,IT,96.9,D6D8
2021,CY,92.2,D6D8
2021,LV,97.9,D6D8
2021,LT,99.6,D6D8
2021,LU,93,D6D8
2021,HU,96.6,D6D8
2021,MT,98.5,D6D8
2021,NL,93.4,D6D8
2021,AT,92.6,D6D8
2021,PL,NA,D6D8
2021,PT,91.2,D6D8
2021,SI,96.7,D6D8
2021,SK,99.8,D6D8
2021,FI,96.2,D6D8
2021,I9,94.9,D8D9
2021,BE,96.2,D8D9
2021,CZ,98.9,D8D9
2021,DE,93.4,D8D9
2021,EE,96,D8D9
2021,IE,99.1,D8D9
2021,GR,96.8,D8D9
2021,ES,96,D8D9
2021,FR,94.8,D8D9
2021,HR,100,D8D9
2021,IT,98.1,D8D9
2021,CY,90.3,D8D9
2021,LV,97.1,D8D9
2021,LT,99.5,D8D9
2021,LU,90.9,D8D9
2021,HU,95.9,D8D9
2021,MT,97.2,D8D9
2021,NL,95.2,D8D9
2021,AT,93.6,D8D9
2021,PL,NA,D8D9
2021,PT,94.1,D8D9
2021,SI,98,D8D9
2021,SK,99.7,D8D9
2021,FI,98.3,D8D9
2021,I9,94.9,D9D10
2021,BE,97.7,D9D10
2021,CZ,97.5,D9D10
2021,DE,92.8,D9D10
2021,EE,95.7,D9D10
2021,IE,98.4,D9D10
2021,GR,95.9,D9D10
2021,ES,94.6,D9D10
2021,FR,95.2,D9D10
2021,HR,99.1,D9D10
2021,IT,96.2,D9D10
2021,CY,95.9,D9D10
2021,LV,99.2,D9D10
2021,LT,99.8,D9D10
2021,LU,87.9,D9D10
2021,HU,96.7,D9D10
2021,MT,99.7,D9D10
2021,NL,96.3,D9D10
2021,AT,92.9,D9D10
2021,PL,NA,D9D10
2021,PT,93.1,D9D10
2021,SI,97.9,D9D10
2021,SK,99.4,D9D10
2021,FI,98.5,D9D10
