TIME_PERIOD,GINI,THEIL,ASSET,REF_AREA
2012-04-01,0.5698249119301751,0.5909335496499029,F2M,CY
2012-07-01,0.5665753135870137,0.5827787297707246,F2M,CY
2012-10-01,0.5635377159713443,0.57580036310662,F2M,CY
2013-01-01,0.5607785207069922,0.5700780833918998,F2M,CY
2013-04-01,0.5537737937140328,0.555545981254378,F2M,CY
2013-07-01,0.5474420765344639,0.5435799053912602,F2M,CY
2013-10-01,0.543203323332564,0.5367640887319575,F2M,CY
2014-01-01,0.5400324430797752,0.52904881274564,F2M,CY
2014-04-01,0.5361422773931726,0.5219360911038048,F2M,CY
2014-07-01,0.5363120053168993,0.5219117061144509,F2M,CY
2014-10-01,0.5391666152992665,0.5266673084446578,F2M,CY
2015-01-01,0.5401550678421809,0.5290378759754099,F2M,CY
2015-04-01,0.541727163689161,0.5343955056304275,F2M,CY
2015-07-01,0.5428371856743713,0.5373829658579481,F2M,CY
2015-10-01,0.545377730487576,0.5420102052352416,F2M,CY
2016-01-01,0.5463556851311954,0.5442877467816106,F2M,CY
2016-04-01,0.5482039107890297,0.5494463442553134,F2M,CY
2016-07-01,0.5503022371782887,0.5545334107017832,F2M,CY
2016-10-01,0.5513981358189082,0.5556065307654704,F2M,CY
2017-01-01,0.5503184713375796,0.5549106109671172,F2M,CY
2017-04-01,0.5514937812540069,0.5565268720971727,F2M,CY
2017-07-01,0.5503187584519287,0.5558513604965956,F2M,CY
2017-10-01,0.55065440847858,0.5567127663749556,F2M,CY
2018-01-01,0.5511694760224749,0.557740000177247,F2M,CY
2018-04-01,0.5534098233853293,0.5625570837323632,F2M,CY
2018-07-01,0.5579758973694441,0.5704062235273175,F2M,CY
2018-10-01,0.5608772150307906,0.5761585742292865,F2M,CY
2019-01-01,0.5615971515768057,0.577072540462992,F2M,CY
2019-04-01,0.5627386934673366,0.5798542305552774,F2M,CY
2019-07-01,0.5649390809573875,0.5857692790137685,F2M,CY
2019-10-01,0.566609860012173,0.5899854936966691,F2M,CY
2020-01-01,0.5673021692636725,0.5927709025926158,F2M,CY
2020-04-01,0.5700100300902708,0.6020424198891307,F2M,CY
2020-07-01,0.5715752420064535,0.6064372207357664,F2M,CY
2020-10-01,0.5729163096258212,0.6099976058776775,F2M,CY
2021-01-01,0.5733671705058844,0.6123211787970693,F2M,CY
2021-04-01,0.5743885906404208,0.6144627232785342,F2M,CY
2021-07-01,0.5741597437150459,0.6146851409748364,F2M,CY
2021-10-01,0.5737636924385834,0.6128418048810065,F2M,CY
2022-01-01,0.5726156802049421,0.6118863832804698,F2M,CY
2022-04-01,0.57293317029081825,0.6126282776680353,F2M,CY
2022-07-01,0.5717473684210527,0.6104956295004813,F2M,CY
2022-10-01,0.5694595857343093,0.6054403230076288,F2M,CY
2023-01-01,0.5669104586772542,0.6017205426343675,F2M,CY
2023-04-01,0.5650262160618803,0.5990001325500494,F2M,CY
2023-07-01,0.5635012647554806,0.5965426720824559,F2M,CY
2023-10-01,0.5603575962759204,0.5892686873804308,F2M,CY
2024-01-01,0.5602322744869279,0.5892007744598526,F2M,CY
2024-04-01,0.5574465834567379,0.5820031363458766,F2M,CY
2024-07-01,0.5563408680887191,0.5790082325870187,F2M,CY
2011-01-01,0.6090558534674941,0.6943708448123322,F2M,DE
2011-04-01,0.6124119823367944,0.7008839119890762,F2M,DE
2011-07-01,0.6155387434245523,0.7077166934936712,F2M,DE
2011-10-01,0.6189518940274228,0.7150908201557491,F2M,DE
2012-01-01,0.6221967438660858,0.7219928703802984,F2M,DE
2012-04-01,0.625419515226849,0.7292099345963929,F2M,DE
