TIME_PERIOD,GINI,THEIL,ASSET,REF_AREA
2010-10-01,0.8645141000104833,1.8875583557295923,BW,AT
2011-01-01,0.8645810691921545,1.8889553968761863,BW,AT
2011-04-01,0.8651130308830376,1.8937244195180276,BW,AT
2011-07-01,0.8649548995489955,1.8917671430815508,BW,AT
2011-10-01,0.8652876698489671,1.8950474126603287,BW,AT
2012-01-01,0.8648887802493278,1.893318790081347,BW,AT
2012-04-01,0.8654712666050314,1.8992948687217943,BW,AT
2012-07-01,0.8658409387222947,1.9031447604503666,BW,AT
2012-10-01,0.8664762636202179,1.9117102036333504,BW,AT
2013-01-01,0.8667030826960529,1.913181372796305,BW,AT
2013-04-01,0.8666823973572441,1.9129572680854485,BW,AT
2013-07-01,0.8669467002706992,1.9156271650829229,BW,AT
2013-10-01,0.868564759765711,1.9316217572853873,BW,AT
2014-01-01,0.869123514710396,1.9361599400936362,BW,AT
2014-04-01,0.8690619621342514,1.9402111542486609,BW,AT
2014-07-01,0.8689735413255193,1.9400179933997013,BW,AT
2014-10-01,0.869958933089974,1.951044745842938,BW,AT
2015-01-01,0.869951814175693,1.947542666324072,BW,AT
2015-04-01,0.8708624612202689,1.9541117339589302,BW,AT
2015-07-01,0.8707542457542458,1.9536341052989332,BW,AT
2015-10-01,0.871350065616798,1.9584937502787385,BW,AT
2016-01-01,0.872001461216869,1.9668096268441868,BW,AT
2016-04-01,0.8721799307958478,1.9668200640092324,BW,AT
2016-07-01,0.872569501562757,1.9704341425200305,BW,AT
2016-10-01,0.8736213572447524,1.9808610957847892,BW,AT
2017-01-01,0.8742882562277581,1.9876850013782272,BW,AT
2017-04-01,0.8744694405733625,1.9867909954839569,BW,AT
2017-07-01,0.8751170200212406,1.9912779125313156,BW,AT
2017-10-01,0.8761310452418096,2.0020351023426652,BW,AT
2018-01-01,0.8763155963302752,2.0028591523630563,BW,AT
2018-04-01,0.8764234161988773,2.0014097310166603,BW,AT
2018-07-01,0.8765292481121509,2.0014337340058233,BW,AT
2018-10-01,0.8774781751619263,2.0077934925325267,BW,AT
2019-01-01,0.8773896031302404,2.0065446461943974,BW,AT
2019-04-01,0.8774156720290608,2.003505939067759,BW,AT
2019-07-01,0.8776625726314324,2.0037808195434392,BW,AT
2019-10-01,0.877336220142478,2.0008661191529926,BW,AT
2020-01-01,0.8775836871041827,2.0025107255173444,BW,AT
2020-04-01,0.877830156452825,2.003237852212329,BW,AT
2020-07-01,0.8777717994417729,2.002838639403217,BW,AT
2020-10-01,0.8794476679666445,2.0137898612601774,BW,AT
2021-01-01,0.8790537210448497,2.011383161251781,BW,AT
2021-04-01,0.8792235996742377,2.012524923022878,BW,AT
2021-07-01,0.8792782033730449,2.0113043145887914,BW,AT
2021-10-01,0.8802016095805751,2.0187906735753436,BW,AT
2022-01-01,0.880031082149576,2.0170800342145405,BW,AT
2022-04-01,0.8790804166778245,2.012096499411002,BW,AT
2022-07-01,0.8788469163868989,2.0103225643183738,BW,AT
2022-10-01,0.8793592641671214,2.013034000517538,BW,AT
2023-01-01,0.8796348168897189,2.0142717085546837,BW,AT
2023-04-01,0.8796755921730175,2.0138008369309106,BW,AT
2023-07-01,0.879718018367611,2.0148612195565367,BW,AT
2023-10-01,0.8799566742314834,2.0155757960357454,BW,AT
2024-01-01,0.8800215042752547,2.016046082551908,BW,AT
2024-04-01,0.8800214658080343,2.016846929898373,BW,AT
2024-07-01,0.879861146303147,2.0151474941592187,BW,AT
2010-07-01,0.878267876328041,1.9940106943141638,BW,BE
2010-10-01,0.8791019195612432,2.005420595886716,BW,BE
2011-01-01,0.8784756753613074,1.999796573509144,BW,BE
2011-04-01,0.8780766566612792,1.9970674916786968,BW,BE
2011-07-01,0.8777161830518262,1.99360490598809,BW,BE
2011-10-01,0.8777596213444526,1.9942668954126144,BW,BE
2012-01-01,0.8776809802158274,1.9931758448258332,BW,BE
2012-04-01,0.8771876064010896,1.9896368117884786,BW,BE
2012-07-01,0.8768315591734502,1.9867586348745474,BW,BE
2012-10-01,0.8766036862359307,1.9859303188515987,BW,BE
2013-01-01,0.8769152254040261,1.9895902078221268,BW,BE
2013-04-01,0.8765910127737226,1.9872447717973019,BW,BE
2013-07-01,0.8763026733121886,1.9853232275607144,BW,BE
2013-10-01,0.8762610600586077,1.9857885075338486,BW,BE
2014-01-01,0.875702953970375,1.9816434522495543,BW,BE
2014-04-01,0.8755762683484959,1.9816156812923709,BW,BE
2014-07-01,0.8750144210960034,1.9772438539010826,BW,BE
2014-10-01,0.8752555020818689,1.9796951391126147,BW,BE
2015-01-01,0.8755817324162648,1.9823280484505033,BW,BE
2015-04-01,0.8753539590980598,1.9806028609976818,BW,BE
2015-07-01,0.8747756258856874,1.9754976695745998,BW,BE
2015-10-01,0.8751784846081015,1.9796805537403468,BW,BE
2016-01-01,0.874889845005443,1.977599524562614,BW,BE
2016-04-01,0.8749437242878212,1.9795998413334923,BW,BE
2016-07-01,0.8746368801254532,1.9768357496407891,BW,BE
2016-10-01,0.874646419920298,1.9787899921215575,BW,BE
2017-01-01,0.8742230202529641,1.9755531997633033,BW,BE
2017-04-01,0.8740008096073404,1.9752918065304723,BW,BE
2017-07-01,0.8741969709026286,1.9744098853009382,BW,BE
2017-10-01,0.8744686468646865,1.9743513718819274,BW,BE
2018-01-01,0.8740033824595312,1.965955295683774,BW,BE
2018-04-01,0.8738355609558526,1.9625598167838467,BW,BE
2018-07-01,0.8732288163176739,1.953789079520507,BW,BE
2018-10-01,0.8734580150596678,1.9541585335495473,BW,BE
